rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0074.jpg,29.6,0.6151,0.3502,0.8,1.0,7,4,False,True
2,frame_0198.jpg,79.2,0.588,0.0,0.0,0.44,0,0,True,True
3,frame_0291.jpg,116.4,0.5676,0.4393,0.6,0.84,5,3,False,True
4,frame_0387.jpg,154.8,0.5489,0.4178,1.0,0.2,10,5,False,True
5,frame_0072.jpg,28.8,0.547,0.334,0.6,1.0,6,3,False,False
6,frame_0073.jpg,29.2,0.5439,0.3278,0.6,1.0,7,3,False,False
7,frame_0287.jpg,114.8,0.541,0.4499,0.6,0.68,4,3,False,False
8,frame_0069.jpg,27.6,0.5408,0.3216,0.6,1.0,5,3,False,True
9,frame_0007.jpg,2.8,0.5399,0.3198,0.6,1.0,3,3,False,True
10,frame_0000.jpg,0.0,0.5355,0.311,0.6,1.0,5,3,False,True
11,frame_0077.jpg,30.8,0.5208,0.3295,0.6,0.88,4,3,False,False
12,frame_0173.jpg,69.2,0.5169,0.4099,0.8,0.36,6,4,False,True
13,frame_0075.jpg,30.0,0.5095,0.275,0.6,0.96,5,3,False,False
14,frame_0079.jpg,31.6,0.5088,0.3375,0.6,0.8,5,3,False,True
15,frame_0375.jpg,150.0,0.4996,0.4391,0.8,0.2,7,4,False,True
16,frame_0125.jpg,50.0,0.498,0.348,0.6,0.72,4,3,False,True
17,frame_0122.jpg,48.8,0.4934,0.3868,0.6,0.6,3,3,False,False
18,frame_0208.jpg,83.2,0.4836,0.5432,0.2,0.76,1,1,False,True
19,frame_0296.jpg,118.4,0.4795,0.343,0.6,0.64,5,3,False,False
20,frame_0001.jpg,0.4,0.4721,0.3042,0.4,1.0,6,2,False,False
21,frame_0384.jpg,153.6,0.4693,0.3946,0.8,0.16,7,4,False,False
22,frame_0289.jpg,115.6,0.4657,0.3873,0.4,0.76,3,2,False,False
23,frame_0070.jpg,28.0,0.4548,0.2695,0.4,1.0,5,2,False,False
24,frame_0397.jpg,158.8,0.4548,0.3496,0.8,0.2,7,4,False,False
25,frame_0280.jpg,112.0,0.4538,0.3875,0.6,0.4,5,3,False,False
26,frame_0067.jpg,26.8,0.4491,0.2582,0.4,1.0,5,2,False,False
27,frame_0029.jpg,11.6,0.4456,0.2512,0.4,1.0,4,2,False,False
28,frame_0002.jpg,0.8,0.4436,0.2473,0.4,1.0,5,2,False,False
29,frame_0076.jpg,30.4,0.4421,0.2761,0.4,0.92,5,2,False,False
30,frame_0130.jpg,52.0,0.442,0.396,0.2,0.92,3,1,False,False
31,frame_0281.jpg,112.4,0.4416,0.4671,0.4,0.44,3,2,False,False
32,frame_0128.jpg,51.2,0.4364,0.2967,0.4,0.84,4,2,False,False
33,frame_0023.jpg,9.2,0.4306,0.3412,0.2,1.0,1,1,False,False
34,frame_0284.jpg,113.6,0.4251,0.3862,0.4,0.56,5,2,False,False
35,frame_0288.jpg,115.2,0.4238,0.3196,0.4,0.72,4,2,False,False
36,frame_0087.jpg,34.8,0.4214,0.4109,0.4,0.48,3,2,False,False
37,frame_0391.jpg,156.4,0.4182,0.3404,0.8,0.04,7,4,False,False
38,frame_0290.jpg,116.0,0.4181,0.2762,0.4,0.8,4,2,False,False
39,frame_0294.jpg,117.6,0.416,0.3039,0.4,0.72,5,2,False,False
40,frame_0277.jpg,110.8,0.4159,0.3599,0.6,0.28,6,3,False,False
41,frame_0121.jpg,48.4,0.4125,0.3611,0.4,0.56,3,2,False,False
42,frame_0168.jpg,67.2,0.4103,0.3566,0.4,0.56,4,2,False,False
43,frame_0008.jpg,3.2,0.4093,0.2985,0.2,1.0,3,1,False,False
44,frame_0033.jpg,13.2,0.4092,0.2984,0.2,1.0,3,1,False,False
45,frame_0020.jpg,8.0,0.3982,0.2763,0.2,1.0,3,1,False,False
46,frame_0124.jpg,49.6,0.3947,0.2773,0.4,0.68,5,2,False,False
47,frame_0014.jpg,5.6,0.3941,0.2681,0.2,1.0,4,1,False,False
48,frame_0276.jpg,110.4,0.3906,0.3252,0.6,0.24,6,3,False,False
49,frame_0004.jpg,1.6,0.3905,0.261,0.2,1.0,4,1,False,False
50,frame_0306.jpg,122.4,0.3903,0.3246,0.6,0.24,4,3,False,False
51,frame_0082.jpg,32.8,0.3901,0.3882,0.2,0.68,1,1,False,False
52,frame_0017.jpg,6.8,0.3889,0.2577,0.2,1.0,3,1,False,False
53,frame_0398.jpg,159.2,0.3872,0.3185,0.6,0.24,5,3,False,False
54,frame_0088.jpg,35.2,0.3865,0.3569,0.4,0.44,4,2,False,False
55,frame_0071.jpg,28.4,0.3839,0.2478,0.2,1.0,6,1,False,False
56,frame_0330.jpg,132.0,0.3829,0.3897,0.6,0.04,6,3,False,False
57,frame_0303.jpg,121.2,0.3827,0.2615,0.6,0.36,5,3,False,False
58,frame_0328.jpg,131.2,0.3827,0.3734,0.6,0.08,9,3,False,False
59,frame_0011.jpg,4.4,0.3822,0.2444,0.2,1.0,3,1,False,False
60,frame_0231.jpg,92.4,0.3822,0.3405,0.6,0.16,7,3,False,False
61,frame_0216.jpg,86.4,0.3821,0.4682,0.2,0.44,2,1,False,False
